S,E,P,I,R,CE,CI,CR,A
48376270.5977861,250111.827029945,147755.301924593,126554.086972718,1099339.18628656,98555.1854283906,62668.2984168675,46762.5252346928,0
48382053.1375753,214449.806202651,139048.013632963,130422.819806909,1134055.22278215,76837.1166719575,60769.0333352953,49464.8117050524,0
48432280.9692225,227507.799824293,129007.650633821,116486.715572578,1094747.86474671,103877.356075817,54524.6314917527,43998.1328645405,0
48223746.5232069,339007.716942216,177799.192096583,143363.091173691,1116113.47658055,157505.934710329,72717.3003992779,52282.3697929753,0
48260771.9250077,282444.394200276,168035.132109134,147557.43624799,1141221.11243493,110908.888413533,71442.24541308,55022.3719450461,0
48402062.7603423,234607.548684145,138178.48682827,124071.672820915,1101108.53132457,99541.879384958,58922.3022478958,46637.2524743466,0
48326663.0149023,285886.56283933,154778.962167421,129013.679309321,1103687.78078148,130881.229268078,64132.8105294715,47508.4777374229,0
48373498.4014599,231915.604216535,143018.408460932,129556.358107944,1122041.22775469,88619.0837128782,61577.4920720654,48712.145862324,0
48334211.1289472,236776.281305482,155794.036805865,145480.613342029,1127767.93959945,83911.2707284171,68432.5017825101,55010.4661868671,0
48238201.3761297,327929.216491694,175975.108130486,144253.151807316,1113671.14744077,151478.881261342,72711.3523788362,52805.4753178122,0
48398580.0430002,226966.505213417,133192.553663702,122508.851619088,1118781.04650367,99778.2030230942,56897.8860413217,46447.1429139562,0
48422087.3452744,220289.763216871,133050.516267488,121752.572290334,1102849.80295101,89962.7548538599,57122.1976293088,45998.0623590695,0
48458509.4084852,201578.339085689,124296.649550024,114063.796857975,1101581.80602114,78980.1058888616,53624.9821948234,43075.0924513964,0
48401576.5616381,246699.946172637,141340.223446304,123629.058855679,1086784.20988731,106806.135614667,59686.5378590877,46137.1084453537,0
48215126.1687902,317888.97029694,186623.478468601,156770.172858009,1123621.2095863,124887.141979097,78932.8222967634,57519.8787985718,0
48431171.9409835,199206.767463532,129500.193183088,121687.347856183,1118464.75051369,70097.2569136254,56575.9935770419,46183.8724696009,0
48458896.6966548,192794.511788569,124188.197583215,119168.57895369,1104983.01501982,73998.8779085856,54417.2649348164,45546.2929190073,0
48444823.4884106,228863.485030896,129810.305448809,112099.228823454,1084432.49228625,98370.2768961012,54534.4269323342,41685.6171886979,0
48296692.2685302,260553.44802694,157607.928268059,140594.666987731,1144581.68818714,101258.385394261,67417.2477587021,52652.9811827775,0
48378154.1200255,243242.683481057,140180.116848291,124719.955314227,1113732.12433101,105182.320021237,59329.230621197,46818.7200382621,0
48435433.6799739,222330.415399518,130096.457501793,115688.163304416,1096481.28382036,93287.869158618,55260.850969981,43370.7982701216,0
48309605.7991127,305041.404257215,170685.718780916,141348.174355315,1073348.90349393,127789.207051988,71101.6932890845,51805.9440712676,0
48510188.6015299,179794.315738435,115268.800329568,110183.276485745,1084596.00591647,67199.5365491469,50305.8417118195,42094.3251339561,0
48370846.3359156,244229.290586128,137958.282813939,123193.985459516,1123802.10522486,112155.727772126,58256.7645625623,46352.0779140897,0
48285952.6834121,293935.591877373,167969.307330799,143837.564929756,1108335.85244981,128080.634548813,70925.6673213062,53237.5793039899,0
48504375.3358469,187255.920075669,114704.375495297,107120.55929884,1086573.80928319,75648.2591642021,49476.5924291428,40719.4700340808,0
48369551.2790642,227299.142910544,139505.288437835,128378.6893578,1135294.60022953,90782.3351039369,60171.6336722217,48537.7233544769,0
48259322.1455061,321706.661410645,169574.410051544,137738.968762532,1111687.81426922,149104.340234761,69494.4188265766,50353.8464947449,0
48426315.8318187,216267.175955165,131978.619124226,122575.353522693,1102893.01957924,88293.6659126828,56898.2547725502,46509.6242358599,0
48246911.9786727,302332.389835257,170914.162094041,142531.070683319,1137340.39871451,127536.108711351,71587.1097981834,52307.2365379399,0
48491759.9811992,199589.723680917,119561.149291342,109917.3587597,1079201.78706889,83362.3877291575,51259.6408947637,41616.8097188497,0
48443883.7727593,204511.372031129,128460.056270081,120114.23011873,1103060.56882055,78567.6358146681,55739.6204486533,45599.757646986,0
48319983.0637478,262940.461091958,152695.970345877,135160.69822716,1129248.80658714,113918.307503611,64866.7877540733,50588.2601578685,0
48426001.0171148,210226.405061493,132675.295777544,122726.065153687,1108400.21689248,79698.5638762907,57622.9667522959,46394.5166005571,0
48329750.9376808,247521.586754509,152258.929087956,138295.715458648,1132202.83101808,97879.8182315781,65686.1824545586,52029.0320550104,0
48277440.2887471,270677.498845744,161977.87871552,141410.108298191,1148523.22539335,106383.200879724,69056.0866850116,52570.1779629824,0
48464115.3164699,202517.026289029,124918.477004805,116356.365314492,1092123.81492189,80773.6293914451,53977.8035260936,44166.0584395151,0
48333793.4725929,282270.783491479,158090.720203921,134128.638290669,1091746.38542105,121607.482486777,66063.501470347,49606.03301855,0
48371407.5759867,244604.980243126,139901.137689196,123662.230153069,1120455.07592784,106686.989164548,59071.3109759056,46338.8619368561,0
48397513.4806072,239914.657704973,138490.304721284,124652.318227679,1099458.2387389,107131.116396546,58854.8138481017,46952.3296236681,0
48462670.3519721,207079.172059557,123880.146555167,113604.893633795,1092794.43577938,86946.1202827843,53110.2780698192,42974.9185788806,0
48385813.9267225,268597.746577821,147550.273937442,127501.919899746,1070566.13286244,126307.968702275,61727.7635429805,47504.0978529259,0
48299034.9367618,260443.063136138,156191.883925043,140642.649888519,1143717.46628856,103809.691956745,66712.0566834649,52884.7793874347,0
48537820.9239356,147935.751351306,100551.464260278,102572.636359822,1111150.22409305,52152.0117622928,44667.6786345773,39885.4046006047,0
48399484.4714422,230995.562407357,131724.230930792,119223.905816494,1118602.82940332,106510.960595969,55875.702999079,45030.1244369396,0
48520855.0821009,178759.106262146,116821.040301019,110187.143936838,1073407.62739898,63252.1326961855,51163.6976736757,41849.7984697618,0
48103920.3208278,378969.000515065,203561.725067157,162953.909079507,1150625.04451044,170834.847562962,83928.5798518889,59089.6687108389,0
48382783.4542185,240642.095235671,142868.981687806,127145.000263879,1106590.46859412,99055.550999342,60955.6091563342,47618.0498956652,0
48357656.560397,251327.855877582,147942.539254891,132379.900176769,1110723.14429378,107738.655995729,63141.4484850649,49685.7238134111,0
48325504.9110467,240844.767060117,149057.233905396,135699.397926315,1148924.69006146,93512.1771726907,64361.3096151677,51080.5574338682,0
48539323.1752022,178500.514933709,107510.299948015,101282.377205206,1073413.63271068,75085.2759880259,46217.1093364083,38660.6604194888,0
48330007.0690109,259066.366720144,155405.225584327,138522.279107085,1117029.05957751,104394.100839804,66462.6295601972,51871.8408736159,0
48421857.7356638,205663.819530167,127661.937194706,121033.129209091,1123814.37840217,82298.3014063817,55312.244938515,46201.876852078,0
48309715.0594364,292872.480071159,161657.634174987,134811.639275961,1100973.18704146,128379.707775447,67247.3414254213,49583.8997583952,0
48482195.861574,187315.646297954,114898.884077664,108649.996380109,1106969.61167022,74823.0444267241,49529.2674800612,41490.5932672974,0
48488962.8630646,200207.240203782,119547.890995101,109680.40105612,1081632.60468036,82460.0447240528,51113.7098800153,41523.6489107235,0
48214534.3941422,317851.603649825,173668.753961049,148031.236810301,1145944.01143668,147431.167284832,72363.6808479524,54916.0772119378,0
48284759.1168499,268113.389033031,163146.799648458,144873.019789241,1139137.6746794,102349.130382431,69856.2454134311,54141.8946949828,0
48468553.0298421,189561.584408999,115121.67407156,108358.52619039,1118435.18548694,77352.8311449227,49517.9339465553,41337.7354650226,0
48538148.4030197,175002.556134997,108640.608948307,103113.837815102,1075125.59408191,69924.2368063815,47065.7953339696,39377.9259423072,0
48471466.8818881,185421.43675498,120010.633256834,116130.61539535,1106999.43270472,70176.5437496428,52620.9797407815,44506.8979763407,0
48360930.5442674,245900.375901579,144012.125764599,127518.598440981,1121668.35562536,103829.993428683,61239.3819073652,47715.3520905791,0
48358980.6105809,251597.511477136,149473.133792834,132186.444317057,1107792.2998321,101961.925497375,63699.2498531798,49399.4242327699,0
48443281.0879021,206547.597417187,124471.348423732,116792.158516805,1108937.80774006,86213.8142505901,53483.017185392,44521.4543973783,0
48505683.0055714,153519.246263051,105120.276493629,109759.346333457,1125946.12533835,55343.3689205413,46891.111523289,42965.3458358398,0
48458840.2500641,207315.803899915,124063.246993853,113555.460353756,1096255.23868824,85718.2842157125,53116.5492863383,42938.762237329,0
48289195.816622,288206.875429301,168043.702501809,144399.753429916,1110182.85201694,118574.757028273,71159.8911005613,53460.4975890224,0
48357416.8986733,254363.593157993,145500.37678188,129753.799841685,1112995.33154518,112671.41450792,61536.2942856297,48766.2486765929,0
48534563.0829969,164544.756808335,105793.364822748,103568.845062157,1091559.95030989,62366.6742642339,46264.0275466067,39879.4202303298,0
48427613.0495903,229047.759754531,136827.825200042,121133.649268989,1085407.71618613,90437.811437276,58303.0987427292,45284.1453582883,0
48409516.5558139,218558.458927297,135846.5878284,124410.964430554,1111696.43299988,82462.6939063602,58611.1006951674,46940.2126677865,0
48181105.1426089,384327.530503089,189793.193559484,146231.689672215,1098572.44365626,192683.510809513,76165.9490085011,52635.6801231058,0
48468610.9350491,196707.903167255,122735.384161709,114334.639413181,1097641.1382087,77900.8393815424,53253.4688074458,43352.1340761556,0
48505684.8452925,180234.541465986,114335.207728838,108452.347993016,1091323.05751974,68735.8349583404,49772.3192979253,41349.4664717089,0
48390329.3089357,226808.935455215,136489.884200809,123059.897197362,1123341.97421097,89430.2805358471,58323.4324375648,46287.882068017,0
48390021.965493,237990.10741269,139011.595503963,122212.77812946,1110792.55346085,99522.9687819946,58990.8037885787,45628.6378318447,0
48351382.2013585,271730.913158008,150447.712913213,128587.718312562,1097882.45425778,124534.055420198,62982.4184736077,47687.3531574243,0
48304187.0522451,261876.991360106,155088.166577446,137942.894729444,1140935.89508786,108571.067422727,66144.7950151003,51657.949407155,0
48325878.3228045,268150.24341463,156888.20544718,137308.553072487,1111804.67526131,112042.954586176,66625.1155310952,51164.86621645,0
48338526.9506784,262987.625498125,147833.12230323,127682.049815665,1123000.25170446,115393.584602251,61993.3222048086,47512.2644180209,0
48426492.7024273,207057.021738311,132114.795829191,123419.402453195,1110946.07755193,76845.2310550643,57528.4743433984,46790.0291131998,0
48366513.1380584,239385.240162978,142572.271519112,129611.327527809,1121947.02273169,99226.5047208593,60936.0376182571,48909.8647458586,0
48371200.2865441,267944.129198257,150399.978277918,125166.206480061,1085319.39949944,112239.687882214,62738.4347875939,45949.3119844936,0
48397876.3059683,230141.371382179,139741.259941511,126862.314112848,1105408.74859518,94526.463825691,60170.7076549536,47750.6178727244,0
48421288.1632877,223699.879111408,135609.087580186,122845.993871996,1096586.87614862,90184.1670420677,58248.728358172,46228.6825844147,0
48323542.8317127,270194.158345423,157825.185908108,135308.038921067,1113160.78511262,107391.267950326,66655.78522249,50078.9339606679,0
48418806.1346967,242498.58000729,140344.26024027,122312.718026253,1076069.30702956,103589.689421296,59453.2994244895,45538.469541571,0
48272477.6562049,315529.268661305,172638.036725846,141291.583369363,1098094.45503865,141117.747688015,71713.8590552688,51594.9589094985,0
48368722.4501123,259277.455838214,149452.102754623,129982.663694035,1092596.32760081,109620.348043379,63128.9963377672,48392.167095279,0
48283028.6589031,283887.728107545,162935.386150511,140742.50352565,1129435.72331321,122490.507896316,68850.297704133,52257.482223299,0
48421802.1227586,238644.328129209,140764.980218463,123302.264067197,1075516.30482639,98874.8494386493,59940.7391510859,45924.1877906649,0
48231011.804467,294367.159800719,170072.301965454,147703.596354572,1156875.13741237,123687.356804169,71868.5723975352,54950.7759461544,0
48325889.5118258,292908.458060597,152943.251935785,125549.403258665,1102740.37491913,141566.259850164,62728.6000574474,46099.4400670909,0
48489756.1833306,187084.611915305,118109.936525384,112087.166966696,1092992.10126213,70403.8546090879,51256.4773995763,42774.835737037,0
48438457.5571512,208979.7095785,128232.874385552,118978.00962573,1105381.849259,84825.7086661943,55381.5466255144,45106.2290621595,0
48524501.1954991,149932.517974032,106923.373671591,108617.987062505,1110054.92579286,46374.5497614456,47949.1585260975,42068.2890954203,0
48459366.1578012,200561.420782125,123314.304577649,114293.040898974,1102495.07594003,82309.2670222044,53357.9250190494,43293.5940160076,0
48254122.2507657,299482.119806868,168930.410372381,146077.998359693,1131417.22069531,131342.802696228,70948.3263597383,54359.5916176289,0
48223482.1920136,323483.687533945,177754.987929881,148826.26727886,1126482.86524367,148000.737715344,74165.0810184986,54792.2069992561,0
48349559.0545293,239561.371429031,143928.355489257,131634.524583457,1135347.69396888,99323.5560703326,61744.2094305652,49734.8338746281,0
48506711.7534276,173686.798667466,111978.74453849,107821.245723429,1099831.45764293,63790.1053460947,48907.5821048475,41287.4373505145,0
48370207.6201282,231468.957919878,141761.183713327,131761.568401147,1124829.66983739,92007.3757704826,61054.5300884617,50017.0266674758,0
48358100.1916608,254829.673253968,151047.443147725,132243.14381214,1103809.54812542,102657.569373938,64277.295935082,49247.5827420049,0
48421456.0929093,207997.449690912,126665.03207052,118561.449875185,1125349.97545403,86200.1332809569,54631.5838287493,45111.0259862063,0
48503572.2754689,166921.693804709,107047.040237812,104113.462843094,1118375.52764548,63883.3935028022,46804.9890064197,40001.6970520549,0
48284931.8479479,272457.929434731,163002.556210265,146328.40065543,1133308.26575174,115897.197090904,69999.3621887675,54893.5778264873,0
48261460.7922651,306545.958603592,169228.862261271,142396.465546416,1120397.92132363,138756.673605213,70661.8440963846,52515.7633673656,0
48408611.7009296,232026.250002579,136695.23710049,121163.603395965,1101533.20857141,97747.2355211786,58265.3689564257,45325.1288556247,0
48481276.444968,201433.372476592,118320.398690177,108925.912665266,1090073.87119998,88056.3648192776,50534.3643939649,41311.8772537747,0
48343281.9974675,243911.873737679,148905.848152886,135297.443160356,1128632.83748155,96574.0785868271,64041.1383756819,50950.5360044263,0
48465014.4431083,205812.120838896,126651.837545673,116901.292192465,1085650.30631468,82757.2547924012,54720.2731397269,44228.4331376239,0
48318988.5429425,253451.528791239,155155.680938819,139253.498685964,1133180.74864137,100080.436587501,66801.6142073841,52181.8846562486,0
48463178.8326198,177744.259675932,120850.150171162,119304.666880529,1118953.09065263,60724.7540162378,53590.2643102631,45897.623357077,0
48469580.242402,187499.991641938,119351.903577771,114479.683882865,1109118.17849547,72346.7643292971,52072.8666018907,43796.7472410267,0
48131990.6390887,364622.629106292,199751.073514944,161418.307438624,1142247.35085158,160436.344968775,82883.4754276734,58645.2721618204,0
48310572.5778876,277008.116877883,161340.388666844,140181.462250437,1110926.45431723,117652.904295591,68503.8547831524,52093.9296462576,0
48267786.0256933,300996.121942112,167450.202844501,140264.902726641,1123532.74679347,132170.50455463,69924.776124757,51625.4885414977,0
48198671.6773385,356539.521881105,181872.604088649,145974.876400669,1116970.32029107,174441.735713267,73884.8029663991,53258.7191585003,0
48444482.4300451,179556.031553382,122807.853485028,121656.994049151,1131525.6908674,61937.8293598874,54615.0963524759,46825.9356694789,0
48444957.0321386,211289.298075333,129261.002032463,118108.199697078,1096415.46805661,86021.9714771674,55782.6694769245,44534.3145937292,0
48288309.4587249,311228.799812591,166561.922170262,135875.535438111,1098053.28385411,141947.900848684,68624.6704409442,49677.4442116716,0
48419835.716982,191275.763748518,119528.653464295,114736.378904747,1154652.48690052,76451.4526834122,51918.0877660805,43961.8391623569,0
48496691.0115936,185541.674169198,113508.941454966,107108.440951001,1097179.93183126,77762.1924233747,49099.2259825268,40842.4231669106,0
48561555.3742468,157587.615305537,100918.006426561,99758.759558129,1080210.24446291,64080.6885595623,44320.8230405866,38508.0743166445,0
48327428.6923121,233299.873586216,144098.057145723,131819.423024421,1163382.95393158,87830.6718642205,61994.9603279065,49752.0048176017,0
48449116.0420593,208070.109417972,129383.223833437,119512.070320871,1093948.55436837,80026.5627171616,55919.6797732979,45216.9558910934,0
48385096.9540888,260272.695051901,140846.685830735,121963.566717107,1091850.09831141,125966.708097245,58724.4676895015,45528.080897618,0
48421730.7220122,217729.262863085,136338.069029211,125651.205562388,1098580.7405332,84333.9598107195,59134.8395147312,47456.4446098545,0
48513118.3197224,184195.20451945,116516.412715724,111204.081890849,1074995.98115172,72341.021422689,50787.081338497,42481.7748480773,0
48357196.7405064,250641.177579059,147194.413928473,129276.537679353,1115721.1303066,103499.481580294,62533.216600127,48229.3976948482,0
48446660.1394246,217152.34599579,131742.058420388,119858.147615946,1084617.30854318,87788.4607786689,56618.0147814933,45170.9249034688,0
48462760.1793475,201230.021470721,122995.610154469,114516.521670328,1098528.66735704,82077.0749627638,53054.1983503341,43484.643853301,0
48177644.1342702,359594.257935291,190001.18011105,153314.258283314,1119475.16940024,168013.837970589,78054.954067077,55855.6720912414,0
48510048.780309,189923.608085892,114178.707344697,107234.859658659,1078644.04460176,81221.9101565046,49128.4170280382,40881.3082549698,0
48340248.3686971,254981.37798237,147323.65051736,128452.750857887,1129023.85194544,107847.379903867,62296.5753379606,47854.9102163238,0
48453536.7877976,215625.75737791,126038.398214017,112475.423942011,1092353.63266855,90025.8095486764,53481.1455126954,42233.8034010418,0
48468443.3801531,177036.679528835,118790.424074103,116432.46495024,1119327.05129383,62020.0975352175,52507.5091224974,44720.741478873,0
48428219.2393942,214929.547834083,124481.43142167,114841.217833722,1117557.56351635,95275.1439496925,52915.6786997356,43645.5607575865,0
48532572.0114839,161117.567457749,108384.54912686,107284.496547347,1090672.3753842,57105.8863710673,47990.4658880811,41330.777778201,0
48224340.2917421,300829.651608364,178388.458494028,155287.841704763,1141183.75645071,120348.893193862,75880.9659504626,57705.1301455615,0
48521837.8449901,167987.746816396,110818.822977963,106900.568906229,1092485.01630943,60176.7331258011,48749.0927392837,40883.6423553252,0
48511497.4654671,175495.684834495,116742.856983305,113578.624810529,1082714.36790466,62538.2174049717,51498.0480437811,43536.2758397246,0
48470921.6168731,206916.619946242,122121.602255885,110755.057615361,1089316.1033092,87254.1967949617,52081.4973130791,41784.8339866102,0
48350627.5343863,268670.129239893,150452.014777319,129610.528765753,1100668.79283073,122264.928693352,63253.375987265,48155.9288845248,0
48336157.2689841,233878.131817906,145561.529994316,135937.30684579,1148496.76235786,93302.5906869704,63131.6121494279,51596.94043732,0
48384847.19298,246826.681999984,144598.878369871,127711.820148532,1096045.42650161,104635.541982848,61525.2480747561,47734.0234688201,0
48167675.7171426,326017.45859102,187858.870797902,157037.980034228,1161439.97343428,128203.015423885,78795.0419753081,57644.2409657328,0
48561938.8909321,164429.935183221,100429.57448066,95383.4664203394,1077849.13298375,67680.3944066037,43333.045709,36476.0806317733,0
48237026.3753596,318058.622351475,173564.470857242,146308.7759497,1125071.75548208,147234.042664021,72274.9747761082,54047.3180066466,0
48389419.1063156,222581.356168981,135237.575881987,124354.134947258,1128438.82668624,88319.3993069903,58046.8150796253,47062.336731025,0
